time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,40.806003,-73.952686,18.0,80,0
1,0,1,0.0,0.0,0,40.805989,-73.952684,18.0,81,0
2,0,1,2.0,1.52,0,40.805974,-73.95268,18.0,83,0
3,0,1,4.39,1.51,0,40.805959,-73.952676,18.0,84,0
4,0,1,6.88,1.67,0,40.805943,-73.952671,18.0,83,0
5,0,1,9.41,1.83,0,40.805926,-73.952666,18.0,85,0
6,0,1,11.89,1.95,0,40.80591,-73.952662,18.0,86,0
7,0,1,14.35,1.89,0,40.805893,-73.952657,18.0,87,9
8,0,1,16.76,1.88,1,40.805877,-73.952654,18.0,87,3
9,0,1,19.14,1.83,1,40.805861,-73.952652,18.0,89,2
10,0,1,21.48,1.76,1,40.805845,-73.952652,18.0,90,3
11,0,1,23.82,1.68,1,40.80583,-73.952654,18.0,91,3
12,0,1,26.13,1.71,1,40.805816,-73.952658,18.0,91,3
13,0,1,28.41,1.65,1,40.805803,-73.952662,18.0,92,3
14,0,1,30.66,1.56,2,40.805789,-73.952666,18.0,93,2
15,0,1,32.88,1.55,2,40.805775,-73.952667,18.0,93,3
16,0,1,35.06,1.51,2,40.80576,-73.952665,18.0,95,3
17,0,1,37.28,1.45,2,40.805745,-73.952662,18.0,96,3
18,0,1,39.48,1.72,2,40.805729,-73.952658,18.0,99,3
19,0,1,41.66,1.73,2,40.805714,-73.952652,17.0,99,2
20,0,1,43.79,1.64,2,40.805698,-73.952647,18.0,102,3
21,0,1,45.87,1.51,2,40.805681,-73.952642,18.0,103,3
22,0,1,47.96,1.4,3,40.805665,-73.952638,18.0,103,3
23,0,1,50.05,1.49,3,40.805648,-73.952635,18.0,104,2
24,0,1,52.14,1.44,3,40.805631,-73.952632,18.0,105,3
25,0,1,54.23,1.49,3,40.805612,-73.95263,18.0,105,3
26,0,1,56.32,1.63,3,40.805592,-73.952629,18.0,106,3
27,0,1,58.41,1.76,3,40.805569,-73.952628,18.0,108,3
28,0,1,60.5,1.92,3,40.805544,-73.952627,18.0,109,2
29,0,1,62.59,2.04,3,40.805517,-73.952626,18.0,111,3
30,0,1,64.69,2.2,4,40.805487,-73.952625,18.0,111,3
31,0,1,66.78,2.35,4,40.805455,-73.952625,18.0,111,3
32,0,1,68.88,2.45,4,40.805422,-73.952624,18.0,111,3
33,0,1,70.98,2.53,4,40.805388,-73.952624,18.0,111,2
34,0,1,73.08,2.67,4,40.805354,-73.952624,18.0,111,3
35,0,1,75.18,2.79,4,40.805319,-73.952624,18.0,111,3
36,0,1,77.28,2.79,4,40.805285,-73.952625,18.0,112,3
37,0,1,79.39,2.79,5,40.805252,-73.952626,18.0,112,3
38,0,1,81.5,2.78,5,40.805221,-73.952629,18.0,112,2
39,0,1,83.62,2.78,5,40.805191,-73.952634,18.0,112,3
40,0,1,85.74,2.78,5,40.805163,-73.952641,18.0,112,3
41,0,1,87.86,2.78,5,40.805137,-73.95265,18.0,113,3
42,0,1,89.98,2.78,5,40.80511,-73.95266,18.0,113,3
43,0,1,92.11,2.77,5,40.805083,-73.95267,18.0,113,2
44,0,1,94.24,2.77,5,40.805055,-73.952679,18.0,112,3
45,0,1,96.37,2.77,6,40.805027,-73.952687,18.0,113,3
46,0,1,98.5,2.76,6,40.804998,-73.952695,18.0,113,3
47,0,1,100.64,2.76,6,40.804969,-73.952701,18.0,114,3
48,0,1,102.77,2.76,6,40.804941,-73.952705,18.0,113,2
49,0,1,104.92,2.75,6,40.804913,-73.952707,18.0,113,3
50,0,1,107.06,2.76,6,40.804886,-73.952706,18.0,112,3
51,0,1,117.03,2.76,7,40.80486,-73.952704,18.0,112,3
52,0,1,120.11,2.77,7,40.804834,-73.9527,18.0,114,3
53,0,1,122.99,2.78,7,40.804809,-73.952696,18.0,115,3
54,0,1,125.68,2.78,7,40.804785,-73.952691,18.0,117,2
55,0,1,128.18,2.79,7,40.804762,-73.952686,18.0,118,3
56,0,1,128.18,2.8,7,40.804738,-73.952683,18.0,117,3
57,0,1,128.18,2.8,7,40.804715,-73.952679,18.0,120,3
58,0,1,130.63,2.8,8,40.804692,-73.952677,18.0,121,3
59,0,1,133.37,2.8,8,40.804667,-73.952674,18.0,119,3
60,0,1,136.21,2.8,8,40.804641,-73.952672,18.0,120,2
61,0,1,136.21,2.81,8,40.804613,-73.95267,18.0,122,3
62,0,1,136.21,2.82,8,40.804583,-73.952669,18.0,121,3
63,0,1,139.64,2.85,8,40.80455,-73.952667,18.0,120,3
64,0,1,151.34,2.89,8,40.804515,-73.952665,18.0,121,3
65,0,1,154.87,2.96,9,40.804481,-73.952662,18.0,121,2
66,0,1,158.54,3.05,9,40.80445,-73.95266,18.0,121,3
67,0,1,162.02,3.14,9,40.804421,-73.952658,18.0,121,3
68,0,1,165.17,3.2,9,40.804396,-73.952656,17.0,121,3
69,0,1,165.17,3.22,9,40.804373,-73.952655,17.0,121,3
70,0,1,165.17,3.22,9,40.804352,-73.952654,17.0,119,2
71,0,1,167.7,3.2,9,40.804332,-73.952655,17.0,120,3
72,0,1,169.97,3.17,10,40.804312,-73.952658,17.0,119,3
73,0,1,172.22,3.12,10,40.804291,-73.952663,17.0,121,3
74,0,1,177.74,3.07,10,40.804267,-73.95267,17.0,122,3
75,0,1,180.65,3.0,10,40.804242,-73.952678,17.0,123,3
76,0,1,182.86,2.94,10,40.804216,-73.952684,17.0,124,3
77,0,1,184.78,2.87,11,40.80419,-73.952688,17.0,124,2
78,0,1,187.02,2.88,11,40.804163,-73.952689,17.0,124,3
79,0,1,190.03,2.91,11,40.804136,-73.952688,17.0,123,3
